id,url,final_url,http_status,retrieved_at,sha256,content_type,used_in_analysis,saved_text
inegi-ce2024,https://www.inegi.org.mx/programas/ce/2024/,https://www.inegi.org.mx/programas/ce/2024/,200,2026-09-19T03:19:44.063347+00:00,576c538e4519ed6b06c17b5fce207d2152b51ec9bf19e0a72b8733bbb3a40831,text/html,False,web/inegi-ce2024.txt
loop-pricing,https://www.loopreturns.com/pricing/,https://www.loopreturns.com/pricing/,200,2026-09-19T03:26:20.673000+00:00,cec22876271f642806a8f8e6c86948240eecf892fbf1cdad7e07ee1c11710944,text/html; charset=utf-8,True,web/loop-pricing.txt
loop-series-b,https://www.loopreturns.com/blog/loop-raises-65m-series-b/,https://www.loopreturns.com/blog/loop-raises-65m-series-b/,200,2026-09-19T03:26:20.241072+00:00,ce4c9258edbd722f71ab962cd810596e37ed2756b1a13915220c1734ad5673aa,text/html; charset=utf-8,True,web/loop-series-b.txt
madein-home,https://madeincookware.com/,https://madeincookware.com/,200,2026-09-19T03:29:50.482814+00:00,1ad890cbf92a5304eea5ca3982f5a169cde790ebe0ae62e4e11389589ad59f51,text/html; charset=utf-8,True,web/madein-home.txt
marketsandmarkets-cx,https://www.marketsandmarkets.com/Market-Reports/customer-experience-management-cem-market-543.html,https://www.marketsandmarkets.com/Market-Reports/customer-experience-management-cem-market-543.html,200,2026-09-19T03:15:06.816699+00:00,e3fcd675aa1b53e8d68a457b52ce62f296e9f0ded3b96f2ad30bb5d0bd30c5c9,text/html; Charset=ISO-8859-1,True,web/marketsandmarkets-cx.txt
medallia-recap,https://www.medallia.com/blog/reinventing-medallia-for-the-ai-era-what-that-means/,https://www.medallia.com/blog/reinventing-medallia-for-the-ai-era-what-that-means/,200,2026-09-19T03:26:20.430966+00:00,d1c305b24b435e34d132ecfd823598a87f41d45febf55c985e1f06386ebf1bed,text/html; charset=UTF-8,True,web/medallia-recap.txt
narvar-series-c,https://www.prnewswire.com/news-releases/narvar-raises-30m-series-c-funding-round-as-global-brands-increase-investment-in-customer-loyalty-and-engagement-300703004.html,https://www.prnewswire.com/news-releases/narvar-raises-30m-series-c-funding-round-as-global-brands-increase-investment-in-customer-loyalty-and-engagement-300703004.html,200,2026-09-19T03:26:20.028038+00:00,f604d4d91e8db9973f62e4fe490c9b725f143e1b74187240faa74a5edabec407,text/html; charset=UTF-8,True,web/narvar-series-c.txt
nrf-2025-release,https://nrf.com/media-center/press-releases/nrf-and-happy-returns-report-2025-retail-returns-expected-to-total-8499-billion,https://nrf.com/media-center/press-releases/nrf-and-happy-returns-report-2025-retail-returns-expected-to-total-8499-billion,404,2026-09-19T03:19:45.168689+00:00,e0c99510d82486f10e801328d6b8e98d2e6546eb774184a60a9651c4622c511a,text/html; charset=utf-8,False,web/nrf-2025-release.txt
nrf-returns-2024,https://nrf.com/media-center/press-releases/nrf-and-happy-returns-report-2024-retail-returns-total-890-billion,https://nrf.com/media-center/press-releases/nrf-and-happy-returns-report-2024-retail-returns-total-890-billion,200,2026-09-19T03:13:10.116201+00:00,02ca5b6aa7b8eb1d444677f75abab73fd2c9059bc5ce0f75816eccdc37af59ef,text/html; charset=utf-8,True,web/nrf-returns-2024.txt
nrf-returns-2025,https://nrf.com/research/2025-retail-returns-landscape,https://nrf.com/research/2025-retail-returns-landscape,200,2026-09-19T03:15:02.450585+00:00,5578d4aca2a309da9c7c836c070755c2f7278d705cbf082c9d0f36a6b437ee90,text/html; charset=utf-8,True,web/nrf-returns-2025.txt
ooni-about,https://ooni.com/pages/about-us,https://ooni.com/pages/about-us,200,2026-09-19T03:21:03.077670+00:00,8830879f3d4af226d85ce9d8cff11c36a6432da9003845b7c8160b10b285b063,text/html; charset=utf-8,True,web/ooni-about.txt
ourplace-about,https://fromourplace.com/pages/about-us,https://fromourplace.com/pages/about-us,404,2026-09-19T03:21:04.862688+00:00,0ba9a70fb246f71982887c59fb34e114a537f28b679a6e72a8c914740bab0706,text/html; charset=utf-8,False,web/ourplace-about.txt
ourplace-home,https://fromourplace.com/,https://fromourplace.com/,200,2026-09-19T03:29:49.569504+00:00,c2cf4d1e797cfe1cd303a08bf978cee9a0707baabc99f41aa356721b16a23d02,text/html; charset=utf-8,True,web/ourplace-home.txt
qualtrics-pressganey,https://www.qualtrics.com/news/qualtrics-acquires-press-ganey-forsta/,https://www.qualtrics.com/news/qualtrics-acquires-press-ganey-forsta/,200,2026-09-19T03:26:18.394104+00:00,05b1b04be98ecd8b0c338250a6b7573a727053977021f2eac91fa9611b5a831d,text/html; charset=UTF-8,True,web/qualtrics-pressganey.txt
ruggable-home,https://ruggable.com/,https://ruggable.com/,200,2026-09-19T03:29:49.812405+00:00,61adfe228289d059192bd3ef70af0a6f9486914d97b3dfeedc51b83a3b000015,text/html; charset=utf-8,True,web/ruggable-home.txt
sba-2024,https://advocacy.sba.gov/2024/11/19/frequently-asked-questions-about-small-business-2024/,https://advocacy.sba.gov/404-not-found/,200,2026-09-19T03:13:13.911512+00:00,b1b84a2b24580870ae22f384ea87892bfbdaf1599229ce6d8d2addd0ecd12330,text/html; charset=UTF-8,False,web/sba-2024.txt
sentisum-pricing,https://www.sentisum.com/pricing,https://www.sentisum.com/pricing,200,2026-09-19T03:26:17.145923+00:00,133219751075c3e52121a3ff739fa32022d87782fb6dc0f167708bbfafe33681,text/html; charset=utf-8,True,web/sentisum-pricing.txt
shopify-financials-2025,https://s27.q4cdn.com/572064924/files/doc_financials/2025/q4/Shopify_Investor_Press_Release_Q4-25_FINAL.pdf,https://s27.q4cdn.com/572064924/files/doc_financials/2025/q4/Shopify_Investor_Press_Release_Q4-25_FINAL.pdf,200,2026-09-19T03:21:02.451980+00:00,f44d19f9b7b2e79ef28be713931bc4db76b6bcb905eb523f0664509c4675a734,application/pdf,True,web/shopify-financials-2025.txt
shopify-results-2025,https://www.shopify.com/news/shopify-q4-2025-financial-results,https://www.shopify.com/news/shopify-q4-2025-financial-results,200,2026-09-19T03:13:10.867279+00:00,a09d5ecd7a16a651357bde4906cb6aa3df0970b18728ce7cf478347a727ec683,text/html; charset=utf-8,True,web/shopify-results-2025.txt
thematic-pricing,https://getthematic.com/product/plan-and-pricing,https://getthematic.com/product/plan-and-pricing,200,2026-09-19T03:26:17.787271+00:00,0124d3685486e51b45d9ecb5bd6266d428d8421a7181b4fa0bb8a06f94973bbc,text/html,True,web/thematic-pricing.txt
unitq-zendesk,https://www.unitq.com/blog/unitq-customer-zendesk-becomes-strategic-unitq-investor/,https://www.unitq.com/blog/unitq-customer-zendesk-becomes-strategic-unitq-investor/,200,2026-09-19T03:26:18.689819+00:00,9ff479453c6e929ac21b52e10edefa43ca724f13ae2c39d85174f4f893894dc4,text/html,True,web/unitq-zendesk.txt
